Student ID,Gender,Race/Ethnicity,Parental Education,Lunch Type,Test Preparation,Study Time per Week,Daily Sleep Duration,Math Score,Reading Score,Writing Score,School Type,Internet Access
1,female,group B,some college,standard,FALSE,12.4,5.4,62,76,65,public,TRUE
2,male,group D,high school,standard,FALSE,18.3,5.1,74,73,76,public,
3,male,group B,bachelor degree,free/reduced,TRUE,11.8,7.8,71,83,91,public,FALSE
4,male,group E,high school,standard,FALSE,,7.3,83,73,52,public,TRUE
5,female,group C,bachelor degree,standard,TRUE,12.9,6.3,41,,81,public,TRUE
6,female,group E,associate degree,standard,FALSE,10.1,6.4,67,,83,public,TRUE
7,female,group E,some college,standard,FALSE,,4.7,51,,81,public,TRUE
8,male,group B,some college,standard,FALSE,11.1,7,65,86,79,private,TRUE
9,male,group C,bachelor degree,standard,FALSE,3.8,7,63,66,78,international,FALSE
10,female,group B,bachelor degree,free/reduced,FALSE,15,7.3,70,82,51,public,FALSE
11,female,group E,some college,free/reduced,TRUE,11.3,,82,76,,private,TRUE
12,female,group E,some college,free/reduced,TRUE,8.9,9.7,35,48,59,public,TRUE
13,male,group E,bachelor degree,standard,FALSE,18.4,6.4,66,52,79,public,
14,male,group D,high school,free/reduced,FALSE,6.9,8.6,68,61,,public,TRUE
15,male,group C,some college,standard,TRUE,6.9,8.2,80,78,78,public,TRUE
16,male,group C,associate degree,standard,TRUE,20.5,6.7,61,93,77,public,TRUE
17,female,group B,some college,standard,FALSE,8.3,,90,74,68,private,TRUE
18,female,group D,some college,free/reduced,FALSE,15.9,9.2,75,62,73,public,TRUE
19,male,group C,master degree,free/reduced,TRUE,5,6.1,57,,80,public,TRUE
20,female,group B,master degree,standard,TRUE,10.2,7,78,66,83,private,TRUE
21,female,group B,high school,standard,TRUE,12.6,8.6,93,45,68,international,TRUE
22,male,group A,,standard,TRUE,13,7.7,54,,95,public,TRUE
23,female,group D,associate degree,standard,FALSE,21,8.3,34,73,94,public,FALSE
24,female,group D,bachelor degree,,FALSE,8.9,6.1,77,93,90,private,TRUE
25,male,group C,master degree,standard,FALSE,3.7,6.9,46,84,67,international,FALSE
26,female,group D,some college,standard,TRUE,12.6,7.5,62,,58,international,TRUE
27,male,group B,some college,standard,FALSE,6.5,8.3,57,80,68,public,TRUE
28,male,group C,bachelor degree,standard,TRUE,,7.2,55,100,84,international,TRUE
29,female,group D,some college,standard,TRUE,16.7,8.5,89,92,,public,TRUE
30,male,group E,high school,free/reduced,TRUE,0,7.2,79,75,60,international,TRUE
31,female,group E,associate degree,standard,TRUE,6.2,4.6,82,,63,public,TRUE
32,male,group E,high school,standard,FALSE,9.5,6.8,96,85,78,international,TRUE
33,male,group A,some college,standard,FALSE,7.7,7.9,69,63,71,public,TRUE
34,female,group B,,,FALSE,6.1,7.6,83,59,71,public,TRUE
35,male,group B,some college,free/reduced,FALSE,18.6,8.8,100,60,59,public,FALSE
36,female,group C,associate degree,standard,FALSE,9.7,4.2,75,42,64,public,FALSE
37,male,group D,bachelor degree,standard,FALSE,16.8,6.2,77,63,71,public,TRUE
38,female,group C,master degree,free/reduced,FALSE,15.2,5.9,33,49,68,private,TRUE
39,female,group E,high school,free/reduced,TRUE,15.8,7.6,67,78,57,public,TRUE
40,female,group B,master degree,standard,FALSE,7.6,6.5,48,54,59,public,
41,male,group B,,standard,TRUE,8.7,6.9,73,88,95,public,TRUE
42,female,group C,master degree,free/reduced,FALSE,16.2,5.3,66,62,47,public,TRUE
43,female,group E,high school,standard,FALSE,12.4,,86,70,65,public,
44,female,group D,some college,free/reduced,TRUE,12.4,7.1,81,,76,public,TRUE
45,male,group C,some college,standard,FALSE,15.5,8.2,84,44,80,public,TRUE
46,male,group E,some college,standard,FALSE,12.1,4.4,86,73,66,public,TRUE
47,female,group D,bachelor degree,standard,TRUE,9.4,5,62,80,74,private,TRUE
48,male,group D,some college,free/reduced,FALSE,10.4,6.2,48,68,69,private,TRUE
49,female,group C,high school,free/reduced,TRUE,0,6.2,72,56,53,private,TRUE
50,male,group A,high school,standard,FALSE,15.1,7.8,75,66,100,public,TRUE
51,female,group E,associate degree,standard,FALSE,15,6,64,59,60,public,TRUE
52,female,group C,bachelor degree,,TRUE,15.9,7.2,98,56,63,public,
53,male,group C,master degree,standard,FALSE,,7.2,79,49,71,international,TRUE
54,female,group D,high school,free/reduced,FALSE,10.3,5.3,63,72,82,public,TRUE
55,female,group B,associate degree,standard,TRUE,8.2,7.1,88,72,82,private,TRUE
56,female,group B,bachelor degree,free/reduced,FALSE,8.8,10.7,85,80,74,private,TRUE
57,male,group A,high school,standard,FALSE,13.4,5.6,51,58,62,public,TRUE
58,female,group A,associate degree,standard,FALSE,,8.3,54,67,81,public,TRUE
59,female,group E,high school,free/reduced,FALSE,12.2,8.6,52,,79,public,TRUE
60,male,group E,some college,free/reduced,FALSE,17.6,7.5,59,67,85,public,TRUE
61,female,group B,high school,standard,FALSE,12.2,8.7,87,58,68,public,TRUE
62,male,group D,,free/reduced,FALSE,2.4,6.1,74,72,82,public,TRUE
63,female,group B,associate degree,standard,TRUE,3.9,8.7,46,90,71,public,TRUE
64,female,group E,master degree,standard,TRUE,1.2,,58,61,75,public,FALSE
65,female,group D,high school,standard,FALSE,0.4,8.4,93,72,47,public,FALSE
66,female,group B,some college,free/reduced,FALSE,19.7,9,49,72,71,public,FALSE
67,male,group E,some college,standard,TRUE,0.5,5.6,45,61,74,public,FALSE
68,male,group D,,standard,TRUE,10.5,7.5,65,63,96,private,TRUE
69,female,group D,bachelor degree,free/reduced,FALSE,3.4,9.9,76,57,61,private,TRUE
70,female,group B,associate degree,standard,FALSE,15.3,8.1,54,74,65,private,TRUE
71,male,group C,some college,,FALSE,10.6,7.9,70,75,70,public,TRUE
72,male,group B,master degree,free/reduced,TRUE,7.6,6,56,64,64,public,TRUE
73,male,group E,some college,standard,FALSE,12.3,7,100,52,62,public,TRUE
74,female,group B,high school,standard,FALSE,10.2,11,48,93,68,private,TRUE
75,female,group B,master degree,standard,TRUE,21.1,10,51,88,77,public,FALSE
76,female,group C,bachelor degree,standard,FALSE,15.8,7.1,61,54,62,public,TRUE
77,female,group E,associate degree,,FALSE,19.7,7,78,47,48,private,FALSE
78,male,group B,,standard,TRUE,15.4,6,78,80,68,international,TRUE
79,female,group B,some college,free/reduced,TRUE,9.4,7.4,80,71,85,international,TRUE
80,male,group B,high school,standard,FALSE,5.2,7.6,83,72,,private,FALSE
81,female,group E,high school,free/reduced,FALSE,16,5.9,65,75,73,public,TRUE
82,male,group D,,standard,TRUE,12.4,6.2,56,,72,public,TRUE
83,female,group B,bachelor degree,standard,TRUE,15.8,10.5,100,58,58,private,TRUE
84,male,group D,bachelor degree,standard,TRUE,9,8.8,51,74,71,public,TRUE
85,male,group A,high school,free/reduced,TRUE,4.6,8.5,63,59,84,public,TRUE
86,female,group B,high school,free/reduced,TRUE,6.5,,56,100,83,private,TRUE
87,male,group E,some college,free/reduced,FALSE,17.3,6.7,63,,91,public,TRUE
88,male,group C,some college,standard,TRUE,5.3,5.7,76,57,,private,FALSE
89,male,group C,some college,standard,FALSE,2.4,6.9,37,,81,private,TRUE
90,female,group C,associate degree,free/reduced,TRUE,11,6.7,54,59,58,public,TRUE
